Distance_mm,Overlap_Real
-4.949747468305833,2.348246668335317e-18
-4.929908801098194,1.1678219949045667e-18
-4.910070133890556,2.6937625338522317e-18
-4.890231466682917,5.400182541684998e-19
-4.870392799475279,1.7716356165058086e-19
-4.85055413226764,1.3598810729261534e-18
-4.830715465060002,6.41229906379659e-19
-4.810876797852362,1.5461194098065105e-18
-4.791038130644724,1.2374934976166479e-18
-4.771199463437085,3.859500651254512e-19
-4.751360796229447,7.246367343012635e-19
-4.731522129021808,1.0365395366831447e-18
-4.71168346181417,1.642277498464933e-18
-4.691844794606531,7.091837482201838e-19
-4.672006127398893,1.2309202305684562e-18
-4.652167460191254,2.0229710908624045e-18
-4.632328792983615,1.451597047630677e-18
-4.6124901257759765,2.0157892008975713e-18
-4.592651458568338,1.4766462580601084e-18
-4.5728127913606995,4.3025701463688884e-19
-4.552974124153061,9.563780695530366e-19
-4.533135456945422,-1.264196418051247e-19
-4.513296789737783,1.4030936961304484e-18
-4.493458122530145,-1.4872687457173183e-19
-4.473619455322506,2.3664622535599924e-19
-4.453780788114868,-3.057785145718982e-19
-4.433942120907229,-1.3230285471199474e-18
-4.414103453699591,9.663426678306653e-19
-4.394264786491952,5.666878207905162e-19
-4.374426119284314,8.346352488339293e-19
-4.354587452076675,1.0958426519460354e-20
-4.334748784869036,2.9396223538211707e-19
-4.314910117661397,-1.4357796796597639e-18
-4.295071450453759,1.1103676377907077e-18
-4.27523278324612,5.204046587245158e-19
-4.255394116038482,8.158431968597757e-19
-4.235555448830843,-3.1562991111455234e-19
-4.215716781623205,8.38536075167197e-19
-4.195878114415566,1.5743597664554287e-19
-4.176039447207927,8.763606156325895e-19
-4.1562007800002885,6.653441467493565e-19
-4.13636211279265,4.665594814010944e-19
-4.1165234455850115,8.027147939268072e-19
-4.096684778377373,4.569935220082728e-19
-4.076846111169734,2.970010614524164e-19
-4.057007443962095,-4.524370946844996e-19
-4.037168776754457,2.518021518821179e-19
-4.017330109546818,-4.329744892131129e-19
-3.99749144233918,2.302624147062445e-19
-3.977652775131541,-1.2208754730293982e-18
-3.9578141079239026,9.413927245882595e-19
-3.937975440716264,1.058207752641815e-18
-3.9181367735086248,4.1465443353741266e-19
-3.898298106300987,-3.141978753485886e-19
-3.878459439093348,8.84980872505826e-19
-3.8586207718857093,7.153494932283489e-19
-3.8387821046780712,-9.341273213676206e-19
-3.818943437470432,1.4965067518305541e-18
-3.7991047702627934,-1.686072996833547e-18
-3.779266103055155,-7.114076069614474e-19
-3.7594274358475164,-3.677065301781263e-19
-3.739588768639878,-5.26740902602111e-19
-3.719750101432239,5.694835989100252e-19
-3.6999114342246004,-2.0781861677643464e-18
-3.680072767016962,-1.2041381640421166e-18
-3.6602340998093235,3.400979752992034e-17
-3.640395432601685,3.131912069846656e-14
-3.620556765394046,1.07947974474248e-11
-3.6007180981864075,1.4414830951021122e-09
-3.580879430978769,7.680795423805345e-08
-3.5610407637711305,1.7116415461864495e-06
-3.541202096563492,1.7139126320304043e-05
-3.521363429355853,8.551741792411682e-05
-3.5015247621482146,0.00024393979840601685
-3.481686094940576,0.00046734047486290535
